Publisher,Count
Headup Games,2
Iceberg Interactive,2
Ignition Entertainment,2
Innocent Grey,2
Intellivision Productions,2
Interactive Magic,2
Inti Creates,2
Janes Combat Simulations,2
JoWooD,2
Klei Entertainment,2
Kutoka Interactive,2
Legend Entertainment,2
Lego Interactive,2
Levande Böcker,2
Longbow Digital Arts,2
MECC,2
MGM Interactive,2
Mattel,2
Mattel Media,2
Meridian4,2
Micro Application,2
Monte Cristo Multimedia,2
Moonpod,2
Myelin Media,2
New World Computing,2
Nival Interactive,2
Novalogic,2
OGPlanet,2
Oxygen Games,2
Pangea Software,2
Papyrus Design Group,2
Play Ten Interactive,2
Pocketwatch Games,2
Quantum Axcess,2
Rainbow Games,2
Red Barrels,2
Red Orb Entertainment,2
Riot Games,2
Ripcord Games,2
SNK,2
Scavenger,2
Scholastic,2
Shiro Games,2
SimBin Studios,2
Sir-Tech,2
Sir-tech,2
Software 2000,2
Software Toolworks,2
Sony Computer Entertainment,2
Sourcenext,2
Square Co.,2
StarWraith 3D Games,2
TDK Mediactive,2
Take 2 Interactive,2
Take Two Interactive,2
The Walt Disney Company,2
Third Wire Productions,2
Three Rings Design,2
Tilted Mill Entertainment,2
Tri-Synergy,2
Turbine,2
Unknown Worlds Entertainment,2
Valcon Games,2
Virgin Games,2
Viva Media,2
Warner Bros. Interactive Entertainment.,2
Webzen,2
WildTangent,2
Wizards of the Coast,2
XS Games,2
Xicat Interactive,2
Xplosiv,2
Zoo Games,2
dtp entertainment,2
insani,2
 1C Games,1
 505 Game Street,1
 ANOZOR,1
 ASC Games,1
 Acclaim,1
 Aeria,1
 Aeria Games & Entertainment,1
 Aeria Games and Entertainment,1
 Aerosoft,1
 Anuman,1
 Artificial Studios,1
 Asia Eastern,1
 Asiasoft Online,1
 Astragon,1
 Atlus,1
 Attica,1
 Bandai Namco Entertainment,1
 Bbmf Corporation,1
 Beijing Entertainment All Technology,1
 Beijing Perfect World,1
 Bethesda Softworks,1
 Bitway,1
 Black Bean,1
 Blitzfront Game Studio,1
 Brighter Minds Media,1
 Broderbund,1
 Buka,1
 Burda:ic,1
 CCP Games,1
 CDC Games USA,1
 CDV Software,1
 CJ Internet,1
 Chinese Gamer,1
 Codemasters,1
 Crimson Cow,1
 CyberFront,1
 Cyberfront,1
 D3,1
 Darkling Room,1
 Data Design Interactive,1
 Davilex Games,1
 Destineer,1
 Digital Media Exchange,1
 Direct2Drive,1
 Disney Interactive,1
 DreamCatcher Games,1
 DreamCatcher Interactive,1
 Dwango,1
 E-Games,1
 EA Games,1
 EA Mobile,1
 EI Interactive,1
 Egmont Interactive,1
 Eidos,1
 Empire Interactive,1
 Empire Interactive Europe Ltd.,1
 Encore Software Inc.,1
 Excalibur Publishing,1
 FPC,1
 Feral Software,1
 Focus,1
 Focus Home Interactive,1
 Fullerton,1
 Fx Interactive,1
 GFI Russia,1
 GMX Media,1
 GOA,1
 GOGAME,1
 GameMaxx,1
 Gamearena,1
 Gamepot,1
 Games-Masters,1
